,A1,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E2
359,1,1,2,2,2,2,2,2,1,-100
360,4,2,2,2,2,2,1,1,2,6
361,1,2,2,2,2,2,1,2,2,E1_f
362,2,2,2,2,2,2,2,1,2,E1_g
363,2,2,2,2,2,1,1,1,2,5
364,4,2,2,2,2,2,2,1,2,E1_g
365,2,1,2,2,2,2,2,2,2,E1_a
366,1,2,2,2,2,2,1,1,1,8
367,4,2,2,2,2,2,1,1,2,6
368,1,2,2,2,2,1,1,2,2,-99
369,2,1,2,2,2,2,2,1,2,1
370,2,2,2,2,2,2,1,2,2,E1_f
371,2,2,2,2,2,1,1,2,2,6
372,2,1,2,2,2,2,2,1,2,1
373,4,1,2,2,2,2,2,1,2,1
374,1,2,2,2,2,2,1,1,2,6
375,1,2,2,2,2,2,1,1,2,7
376,4,2,1,2,2,2,2,2,2,E1_b
377,2,2,2,2,2,2,1,1,2,7
378,2,1,2,2,2,2,2,1,2,1
379,2,2,2,2,2,2,1,2,2,E1_f
380,1,2,2,2,2,2,2,1,1,8
381,4,1,1,2,2,2,2,1,2,1
382,2,1,1,2,2,2,2,1,2,1
383,1,2,2,2,2,1,1,1,2,5
384,2,1,2,2,2,2,2,1,2,-99
385,2,2,2,2,2,2,1,2,2,E1_f
386,1,2,2,2,2,2,1,1,2,7
387,2,2,2,2,2,2,1,2,2,E1_f
388,4,2,2,2,1,2,2,2,2,E1_d
389,2,1,2,2,2,2,2,2,2,E1_a
390,2,2,2,2,2,2,1,1,2,7
391,2,2,2,2,2,2,1,1,1,8
392,4,2,2,2,2,1,1,1,1,8
393,4,1,2,2,2,2,2,1,2,1
394,2,1,2,2,2,2,1,1,1,8
395,4,2,2,2,2,2,1,1,1,6
396,2,1,2,2,2,2,2,2,2,E1_a
397,2,1,2,2,2,2,2,1,2,1
398,-98,2,2,2,1,1,1,2,2,5
399,2,2,2,2,2,2,1,2,2,E1_f
400,4,2,2,1,2,2,2,1,2,3
401,2,1,2,2,2,2,2,1,1,8
402,2,1,2,2,2,2,2,2,2,E1_a
403,2,2,2,2,2,2,1,2,-99,E1_f
404,2,2,2,2,2,2,1,2,2,E1_f
405,2,1,2,2,2,2,1,1,2,1
406,2,2,2,2,2,2,1,2,2,E1_f
407,2,2,2,1,2,2,2,1,2,3
408,2,1,-99,2,2,2,2,2,2,E1_a
409,2,2,2,2,2,2,1,1,2,6
410,1,2,2,2,2,2,1,-98,-98,E1_f
411,5,2,2,2,2,2,1,1,2,6
412,1,1,1,1,2,2,2,2,2,1
413,4,1,2,2,2,2,2,1,2,1
414,2,1,2,2,2,2,2,2,2,E1_a
415,2,2,2,1,2,2,2,1,2,3
416,2,2,2,2,2,2,1,2,2,E1_f
417,4,1,2,2,2,2,2,2,2,E1_a
418,2,2,2,2,2,1,1,2,2,6
419,2,2,2,2,2,2,1,2,2,E1_f
420,2,2,2,2,2,2,1,2,2,E1_f
421,1,1,2,2,2,2,2,1,2,7
422,2,1,2,2,2,2,2,1,2,1
423,1,2,2,2,2,2,1,2,-98,E1_f
424,2,2,2,2,2,2,1,2,2,E1_f
425,4,1,2,2,2,2,2,1,1,7
426,4,2,2,2,1,2,1,1,2,6
427,2,2,1,2,1,2,2,2,2,2
428,2,1,2,2,2,2,2,1,2,1
429,1,2,2,2,2,2,2,2,2, 
430,2,2,2,2,2,2,1,1,1,-99
431,2,1,2,2,2,2,2,1,2,1
432,4,2,2,2,1,2,2,1,2,7
433,2,2,2,2,2,2,1,1,2,7
434,2,2,2,2,2,2,1,1,2,6
435,2,2,2,2,2,2,2,1,2,E1_g
436,2,1,2,2,2,2,2,1,2,1
437,2,2,2,2,2,2,2,1,2,E1_g
438,4,1,2,2,2,2,2,1,2,1
439,1,2,2,2,2,2,1,1,1,6
440,2,1,2,2,2,2,2,1,2,1
441,2,2,2,2,2,2,1,1,2,6
442,2,2,2,2,2,2,1,2,2,E1_f
443,4,2,2,2,2,1,1,1,1,5
444,2,2,2,1,1,2,2,2,2,4
445,2,2,2,2,2,2,1,1,2,6
446,4,2,2,2,1,1,2,1,1,8
447,2,2,2,2,2,2,1,2,2,E1_f
448,2,2,2,2,2,2,1,2,1,6
449,4,2,2,2,1,2,2,1,-98,7
450,2,2,2,2,2,1,1,1,2,6
451,4,2,2,2,2,2,1,1,1,7
452,1,2,2,2,2,2,1,1,1,6
453,4,2,2,2,2,2,1,1,1,8
454,2,2,2,2,2,1,2,2,-98,E1_e
455,4,1,2,2,2,2,2,1,1,1
456,2,1,2,2,2,2,2,1,2,1
457,2,2,2,2,2,2,1,1,-99,6
458,4,1,2,2,2,2,2,2,2,E1_a
459,4,2,2,2,2,2,2,2,2, 
460,2,2,2,2,2,1,1,1,2,5
461,2,2,2,2,2,1,1,1,2,7
462,2,1,2,2,2,2,2,2,2,E1_a
463,2,2,2,2,2,2,1,2,-98,E1_f
464,2,2,2,2,2,2,1,1,2,7
465,2,1,2,2,2,2,2,2,2,E1_a
466,2,1,2,2,2,2,2,1,2,7
467,2,1,2,2,2,2,2,2,2,E1_a
468,4,1,2,2,2,2,2,2,2,E1_a
469,1,2,2,2,2,2,1,1,1,8
470,4,2,2,2,2,2,1,2,2,E1_f
471,2,1,2,2,2,2,2,2,2,E1_a
472,4,1,2,2,2,2,2,2,2,E1_a
473,2,2,2,2,2,2,1,2,2,E1_f
474,4,1,2,2,2,2,2,1,2,7
475,2,2,2,2,2,1,2,1,2,7
476,1,2,2,2,2,2,1,2,2,E1_f
477,2,1,2,2,2,2,2,1,2,1
478,2,1,2,2,2,2,2,2,2,E1_a
479,2,2,2,1,2,2,2,1,2,3
480,5,1,2,2,2,1,2,2,1,8
481,2,2,2,2,2,2,1,2,1,8
482,2,1,2,2,2,2,2,2,2,E1_a
483,2,1,2,2,2,2,2,1,-98,1
484,4,1,2,2,2,2,2,1,1,1
485,2,2,2,2,2,2,1,2,2,E1_f
486,2,2,2,2,2,2,1,1,2,6
487,-98,1,2,2,2,2,2,1,2,1
488,2,2,2,2,2,2,1,1,2,7
489,1,2,2,2,2,2,1,1,2,-98
490,2,2,1,2,2,2,2,1,1,8
491,4,1,2,2,2,2,2,2,2,E1_a
492,2,1,2,2,2,2,2,2,2,E1_a
493,4,1,2,2,2,2,2,1,-98,7
494,5,1,2,2,2,2,2,2,1,-100
495,1,1,2,2,2,2,2,2,2,E1_a
496,4,1,2,2,2,2,2,2,2,E1_a
497,1,1,2,2,2,2,2,2,2,E1_a
498,5,2,2,2,2,2,1,2,-99,E1_f
499,2,1,2,2,2,2,2,1,2,1
500,5,2,2,2,2,2,1,1,2,6
501,2,2,2,2,2,2,1,-99,2,E1_f
502,2,2,2,2,2,2,1,1,1,8
503,2,1,2,2,2,2,2,2,-99,E1_a
504,2,1,2,2,2,2,2,2,2,E1_a
505,2,2,2,2,2,2,1,1,2,6
506,5,2,1,2,2,1,2,2,2,5
507,4,2,2,2,2,1,2,1,-99,7
508,1,2,2,2,2,2,1,2,2,E1_f
509,2,2,2,2,2,2,1,1,1,6
510,1,2,2,2,2,2,1,1,2,6
511,2,2,2,2,2,2,1,2,2,E1_f
512,2,1,2,2,2,2,2,2,2,E1_a
513,2,2,2,2,2,2,1,2,2,E1_f
514,1,2,2,2,2,1,1,2,1,8
515,4,1,1,2,2,2,2,2,2,1
516,2,2,2,2,2,2,1,1,2,6
517,2,2,2,2,2,1,1,2,2,6
518,4,2,2,2,2,2,1,1,2,6
519,1,2,2,2,2,2,1,2,2,E1_f
520,1,1,2,2,2,2,2,1,1,1
521,1,2,2,2,2,2,1,1,1,6
522,2,1,2,2,2,2,2,2,2,E1_a
523,2,1,2,2,2,2,2,2,2,E1_a
524,2,2,2,2,2,2,1,1,1,8
525,1,1,2,2,2,2,2,1,2,1
526,5,1,2,2,2,2,2,2,2,E1_a
527,2,2,2,2,2,2,1,2,-99,E1_f
528,4,2,2,2,2,2,1,1,1,6
529,2,2,2,2,2,2,1,2,2,E1_f
530,4,2,2,2,2,2,1,1,1,8
531,2,1,2,2,2,2,2,1,2,1
532,2,2,2,2,2,2,1,1,1,6
533,1,2,2,2,2,2,1,2,2,E1_f
534,4,2,2,2,2,2,1,1,-98,7
535,4,2,2,2,2,2,1,1,2,6
536,2,1,2,2,2,2,2,2,2,E1_a
537,2,1,2,2,1,2,2,1,1,8
538,1,1,1,2,2,2,2,1,2,1
539,2,1,2,2,2,2,2,2,2,E1_a
540,2,2,2,2,2,2,1,2,2,E1_f
541,2,2,2,2,2,1,2,1,-99,5
542,2,2,2,2,2,2,1,2,2,E1_f
543,2,2,2,2,2,2,1,1,1,7
544,2,1,2,2,2,2,2,2,2,E1_a
545,1,2,2,2,2,2,1,1,2,6
546,2,2,2,2,2,1,1,1,-99,5
547,2,2,2,2,2,2,1,1,1,6
548,2,1,2,2,2,2,2,2,2,E1_a
549,2,2,2,-98,2,1,1,2,2,6
550,2,1,2,2,2,2,2,1,2,1
551,4,2,2,2,2,2,1,2,2,E1_f
552,2,1,2,2,2,2,1,1,1,8
553,2,2,2,2,2,2,1,1,1,8
554,2,2,2,2,2,2,1,2,1,8
555,2,1,2,2,2,2,2,1,2,1
556,2,2,2,2,2,2,2,1,1,-100
557,1,2,2,2,2,2,2,1,1,8
558,2,2,2,2,2,2,1,1,1,6
